# 2theta(deg)  I(arb.units)
87.4950  1.930931e+01
87.7877  1.906065e+01
88.0811  1.882056e+01
88.3752  1.858909e+01
88.6700  1.836626e+01
88.9656  1.815203e+01
89.2619  1.794636e+01
89.5590  1.774916e+01
89.8569  1.756031e+01
90.1555  1.737965e+01
90.4549  1.720701e+01
90.7551  1.704219e+01
91.0561  1.688497e+01
91.3579  1.673509e+01
91.6605  1.659230e+01
91.9640  1.645632e+01
92.2683  1.632685e+01
92.5734  1.620361e+01
92.8794  1.608628e+01
93.1862  1.597454e+01
93.4939  1.586809e+01
93.8025  1.576661e+01
94.1120  1.566979e+01
94.4224  1.557731e+01
94.7337  1.548886e+01
95.0459  1.540416e+01
95.3590  1.532291e+01
95.6731  1.524482e+01
95.9882  1.516964e+01
96.3042  1.509709e+01
96.6212  1.502694e+01
96.9391  1.495895e+01
97.2581  1.489290e+01
97.5781  1.482859e+01
97.8991  1.476581e+01
98.2211  1.470440e+01
98.5442  1.464417e+01
98.8684  1.458499e+01
99.1936  1.452669e+01
99.5199  1.446917e+01
99.8473  1.441229e+01
100.1759  1.435595e+01
100.5055  1.430004e+01
100.8363  1.424449e+01
101.1683  1.418921e+01
101.5014  1.413413e+01
101.8358  1.407918e+01
102.1713  1.402431e+01
102.5081  1.396946e+01
102.8461  1.391458e+01
103.1853  1.385965e+01
103.5258  1.380461e+01
103.8676  1.374945e+01
104.2108  1.369412e+01
104.5552  1.363861e+01
104.9010  1.358289e+01
105.2481  1.352696e+01
105.5967  1.347079e+01
105.9466  1.341438e+01
106.2980  1.335772e+01
106.6507  1.330082e+01
107.0050  1.324366e+01
107.3608  1.318626e+01
107.7180  1.312863e+01
108.0768  1.307079e+01
108.4372  1.301275e+01
108.7991  1.295454e+01
109.1626  1.289619e+01
109.5278  1.283774e+01
109.8946  1.277923e+01
110.2631  1.272071e+01
110.6333  1.266222e+01
111.0052  1.260383e+01
111.3789  1.254560e+01
111.7544  1.248760e+01
112.1317  1.242990e+01
112.5109  1.237259e+01
112.8920  1.231576e+01
113.2750  1.225947e+01
113.6599  1.220384e+01
114.0468  1.214896e+01
114.4358  1.209492e+01
114.8268  1.204183e+01
115.2199  1.198978e+01
115.6152  1.193888e+01
116.0126  1.188923e+01
116.4122  1.184093e+01
116.8141  1.179409e+01
117.2183  1.174879e+01
117.6249  1.170512e+01
118.0339  1.166319e+01
118.4453  1.162307e+01
118.8592  1.158483e+01
119.2756  1.154856e+01
119.6947  1.151430e+01
120.1164  1.148212e+01
120.5408  1.145207e+01
120.9680  1.142418e+01
121.3980  1.139848e+01
121.8309  1.137498e+01
122.2667  1.135370e+01
122.7056  1.133464e+01
123.1476  1.131778e+01
123.5928  1.130310e+01
124.0412  1.129056e+01
124.4930  1.128013e+01
124.9481  1.127175e+01
125.4068  1.126537e+01
125.8690  1.126090e+01
126.3349  1.125827e+01
126.8046  1.125739e+01
127.2782  1.125818e+01
127.7557  1.126052e+01
128.2374  1.126431e+01
128.7232  1.126944e+01
129.2134  1.127580e+01
129.7081  1.128325e+01
130.2073  1.129170e+01
130.7112  1.130100e+01
131.2201  1.131103e+01
131.7340  1.132168e+01
132.2530  1.133282e+01
132.7775  1.134432e+01
133.3075  1.135606e+01
133.8432  1.136794e+01
134.3848  1.137983e+01
134.9327  1.139163e+01
135.4869  1.140323e+01
136.0477  1.141454e+01
136.6155  1.142545e+01
137.1904  1.143589e+01
137.7727  1.144578e+01
138.3628  1.145503e+01
138.9610  1.146357e+01
139.5677  1.147136e+01
140.1832  1.147832e+01
140.8080  1.148442e+01
141.4425  1.148960e+01
142.0873  1.149384e+01
142.7427  1.149710e+01
143.4095  1.149935e+01
144.0882  1.150058e+01
144.7796  1.150078e+01
145.4844  1.149992e+01
146.2034  1.149802e+01
146.9375  1.149505e+01
147.6879  1.149103e+01
148.4556  1.148596e+01
149.2420  1.147985e+01
150.0485  1.147270e+01
150.8768  1.146453e+01
151.7289  1.145535e+01
152.6068  1.144518e+01
153.5133  1.143402e+01
154.4513  1.142189e+01
155.4245  1.140881e+01
156.4372  1.139479e+01
157.4948  1.137986e+01
